allnow, title, follow, score, count, view_6, danmaku, reply, coin, share, like, view_5, danmaku, reply, coin, share, like, view_4, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_PV2, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV1, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
8, 28228266, 797365, 9.8, 22200, 799644, 19794, 8668, 12079, 142, 1899, 590373, 17040, 841, 4890, 64, 1455, 611999, 22528, 1172, 4727, 43, 1377, 713630, 19686, 2041, 4810, 62, 1585, 351361, 418, 2593, 2092, 97, 233, 763468, 22200, 2871, 5081, 58, 1332, 351361, 418, 2593, 2092, 97, 233, 2782452, 50921, 10620, 16129, 454, 1673, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228168, 819273, 7.3, 5362, 880096, 34168, 7560, 5796, 43, 1870, 1665681, 45283, 6477, 7424, 73, 2011, 726587, 474, 1836, 791, 19, 200, 4254577, 136833, 15265, 18226, 247, 2521, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228368, 346309, 9.7, 1148, 119059, 2269, 801, 1650, 49, 1733, 313897, 2988, 1440, 3004, 49, 2172, 263544, 257, 745, 441, 8, 216, 1012840, 14056, 3317, 7785, 75, 26, 

allnow, title, follow, score, count, view_SP, danmaku, reply, coin, share, like, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
5, 28228265, 360351, 8.6, 737, 41501, 79, 176, 78, 0, 139, 86958, 1490, 476, 604, 28, 1559, 333504, 6765, 1039, 1372, 36, 2014, 421034, 1108, 1287, 725, 33, 251, 1225391, 21433, 3659, 4253, 89, 14, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
5, 28228439, 281367, 9.5, 406, 54745, 1768, 815, 555, 16, 138, 59681, 193, 275, 290, 13, 707, 173611, 2728, 1252, 1017, 12, 167, 345321, 1233, 1732, 757, 18, 93, 675646, 9932, 3880, 2752, 31, 11, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228443, 1253757, 0, 0, 1834370, 53074, 9202, 24109, 170, 2458, 1082751, 1564, 3495, 3093, 50, 113, 4090826, 93966, 18568, 41055, 384, 145, 

allnow, title, follow, score, count, view_16, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_15, danmaku, reply, coin, share, like, 
3, 28228438, 489086, 0, 0, 252245, 2862, 1409, 2837, 16, 151, 198791, 284, 898, 852, 3, 139, 483996, 7170, 1907, 4582, 13, 7, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228433, 71534, 0, 0, 32008, 867, 523, 270, 9, 131, 77895, 340, 587, 93, 4, 85, 141292, 2344, 1698, 746, 27, 6, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228413, 325726, 0, 0, 220388, 1881, 695, 754, 17, 2045, 297785, 151, 825, 267, 3, 117, 1348106, 25067, 3738, 2812, 487, 2726, 

allnow, title, follow, score, count, view_3, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228276, 413122, 9.8, 1087, 54615, 2590, 1717, 1185, 24, 1974, 119249, 8108, 2073, 2455, 30, 2357, 152546, 1109, 2023, 1276, 12, 103, 292802, 13458, 2384, 3333, 49, 2305, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
2, 28228462, 53931, 0, 0, 35159, 188, 243, 94, 16, 139, 194847, 664, 957, 360, 12, 145, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228410, 310190, 0, 0, 202740, 2366, 721, 871, 23, 2076, 332802, 354, 970, 484, 22, 265, 818996, 13815, 3014, 2854, 126, 2726, 

allnow, title, follow, score, count, view_PV, danmaku, reply, coin, share, like, view_2, danmaku, reply, coin, share, like, view_SP, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
4, 28228434, 885508, 0, 0, 231561, 1598, 2878, 1563, 30, 93, 136764, 2146, 1122, 2116, 18, 131, 238887, 407, 653, 695, 29, 397, 383380, 8631, 2925, 4279, 30, 144, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228277, 159187, 0, 0, 160176, 10353, 1923, 554, 16, 135, 299396, 1375, 2657, 874, 37, 98, 601422, 30224, 7212, 2251, 79, 137, 

allnow, title, follow, score, count, view_15, danmaku, reply, coin, share, like, view_14, danmaku, reply, coin, share, like, 
2, 28228448, 283661, 0, 0, 163987, 2990, 1774, 1404, 26, 1985, 499316, 8083, 3842, 2818, 51, 2070, 

allnow, title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
1, 28228386, 4193501, 0, 0, 4688347, 62342, 34920, 53214, 419, 137, 

allnow, title, follow, score, count, 
0, 28228409, 656336, 0, 0, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228420, 62186, 0, 0, 19663, 672, 319, 206, 29, 1743, 108108, 152, 745, 272, 6, 99, 217917, 2268, 1278, 836, 39, 2362, 

allnow, title, follow, score, count, view_2, danmaku, reply, coin, share, like, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
3, 28228367, 6049468, 0, 0, 398754, 48529, 12400, 22767, 405, 331, 5892482, 36415, 19786, 44220, 4528, 12081, 10156808, 402341, 72649, 253365, 1652, 2033, 

allnow, title, follow, score, count, view_PV, danmaku, reply, coin, share, like, view_1, danmaku, reply, coin, share, like, 
2, 28228406, 217710, 0, 0, 228050, 394, 741, 451, 15, 100, 202652, 2709, 2609, 2703, 300, 2443, 

allnow, title, follow, score, count, view_25, danmaku, reply, coin, share, like, 
1, 28228449, 472899, 0, 0, 92059, 190, 784, 132, 31, 173, 

allnow, title, follow, score, count, view_1, danmaku, reply, coin, share, like, 
1, 28228437, 37138, 0, 0, 18333, 93, 201, 143, 8, 122, 

allnow, title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
1, 28228268, 640883, 0, 0, 184981, 168, 904, 266, 8, 118, 

allnow, title, follow, score, count, view_PV, danmaku, reply, coin, share, like, 
1, 28228119, 5999534, 0, 0, 2976188, 23213, 13390, 22000, 254, 39, 

